Indonesia,Javanese,Alphabet
aruk,mengaruk: njogèd ngaturake kasêtyan lsp.,a
arun,"diarun: dikaru, diulêd lan diublak.",a
arung,"diarung (i): disabrangi, diambah ngrubyuk; arungan: sabrangan, sagara kang diambah prau.",a
arus,ilining banyu (ombak).,a
arwah,"1 roh, jiwane wong sing wis ajal; 2 (ut. makan arwah) slamêtan mêmule wong sing wis ajal; diarwahkan: dimêmule tmr. wong ajal.",a
as,"indhèn, negeri as: nippon-jerman-itali.",a
asa,pangarêp-arêp; putus (hilang) asa: êntèk pangarêp-arêpe; asa-asaan: tansah ngarêp-arêp kapriye kadadeyane.,a
asabat,"warisan, pusaka.",a
asabat,"urat, saraf.",a
asad,singa.,a
asah,"diasah: diasah, digosok murih landhêp.",a
asahan,pinggan gêdhe.,a
asai,"padha popol; mengasai: popol, bubukên.",a
asak,"berasak-asak: jêjêl riyêl, ndhêsuk; diasak: dijêjêl, diênêt-ênêt, dipadhêtake.",a
asal,"i asal, asli, pinangka; berasal: asal saka, isih darah. ii ut. asalkan: waton, anggêr, sok uga.",a
asal-usul,"wêwaton, mula bukane, asal-usul.",a
asali,asli.,a
asam,"1 kêcut; 2 asêm; diasam(kan): diasêmi, dikum lsp. ing kêkêcut; asaman: kêkêcut.",a
asap,"kêbul, kukus; berasap: kumukus, kêbul-kêbul; diasap(i): dikêbuli, dikutugi, dikukusi.",a
asar,wayah sêmbahyang asar.,a
asas,"têtalês, dhêdhasar, wêwaton.",a
asi,"i bênêr, cocog. ii mbalela; ora miturut.",a
asik,"1 (ut. 'asik, 'asyik) kêsêngsêm, kêtungkul; 2 rongèh, ora jênjêm.",a
asin,"asin; diasinkan: diasin, dikamal.",a
asing,"1 nylênèh, ndhewe, ora padha karo panunggalane; 2 ngamanca; 3 anèh; diasingkan: didhèwèkake, disingkirake, dibuwang adoh; terasing: mênjila, kêpêncil.",a
askar,wadyabala.,a
asli,"asli, isih darah.",a
asma,asma; jênêng.,a
asmara,"sih, kasêngsêman.",a
aso,mengaso: ngaso.,a
asrama,1 pratapan; 2 omah pamondhokan (kanggo bocah sêkolah lsp.).,a
asrar,winadi.,a
astaka,balai astaka: bale palênggahan.,a
astakona,"maju wolu, maju akèh.",a
"astana, istana","kêdhaton, kraton.",a
asuh,"diasuh: diêmong; pêngasuh: pamomong; asuhan: momongan, ênggone ngêmong.",a
asung,diasung: diajani; kc. asut.,a
asut,"diasut: diojok-ojoki, diajani, digêgasah; pengasut: wong kang ngojok-ojoki; asutan: pangojok-ojok.",a
aswad,irêng.,a
asyik,kc. asik.,a
asyura,tanggal sapuluh sasi muharam (sura).,a
atal,atal.,a
atap,"atêp, payon.",a
atar,ar. lênga wangi ut. ombèn-ombèn.,a
atas,"1 (dari,- di-, kê-) (saka, ing, mênyang) ndhuwur; 2 mungguh ing, up. atas hal ini; 3 atas, têrang saka, up. atas perintah raja; 4 marang, ing, up. menimpa atas dirinya; 5 dadi, up. dibagi atas lima bahagi; 6 kêdadeyan saka, up terjadi atas lima sebab; 7 tumrap, dadi bubuhane, up. pembayaran ini atas hambalah; 8 wêwaton (miturut) saka, up. atas syari'at nabi isa; beratas-atasan: rêbut unggul; mengatas: munggah, ngatas; diatasi: diungkuli.",a
atas angin,ngatas angin.,a
atau,utawa.,a
atma,sukma.,a
atung,"i mengatung: kumambang kampul-kampul, mabur kêkêjêr up. kupu. ii udang atung: ar urang.
--- 16 ---",a
atur,"i beratur, teratur: tata, ajêg, tumata; diatur: ditata, dipranata; aturan: tatanan, pranatan, rêrigên; peraturan: pranatan. ii diaturi: diaturi; diaturkan: diaturake; katur.",a
aulia,"uliya, wong suci.",a
aum,mengaum: nggêro.,a
aur,pring ori.,a
aurat,"1 wuda, 2 urat (wêwadi).",a
aus,"gêrang, padha gripis.",a
awai,"cuwa, gêla, kagol.",a
awak,"1 awak, badan; 2 (-kapal, -pêrahu) bêbauning prau; 3 (-ku, -mu, nya) aku, kowe, dhèwèke.",a
awal,"awal, wiwitan, kang dhisik; awalan: atêr-atêr.",a
awan,"1 mega, mêndhung; 2 kanggo jênênging ukir-ukiran ut. gêgambaran warna-warna kyt. awan bêrarak, awan mêlarat lsp; berawan: mêndhung, kasaput ing mega; mengawan: munggah ing awang-awang.",a
awang,"thole, ênggèr.",a
"awang-awang(an), awang gemawang",awang-awang.,a
awas,"awas, prayitna; diawasi: ditamatake, diawat-awati; dibawah pengawasan: diulat-ulatake.",a
awin,pengawinan: (wong kang nggawa) tumbak upacara.,a
awit,awèt.,a
ayah,rama (bapa).,a
ayahanda,ingkang rama.,a
ayak,"(ut. pengayakan): ayakan, kalo saringan; mengayak: megol-megol, mlêndhung tmr. layar; diayak: diayaki.",a
ayak-ayak,ninitèh.,a
ayal,"gojag-gajêg, manggamara.",a
ayam,pitik; ayam betina: babon; ayam jantan: jago.,a
ayam-ayaman,manuk sribombok.,a
"ayam-hutan, ayam beroga",ayam alas.,a
ayan,blêg.,a
ayang-ayang,ar. tamba (jamu).,a
ayapan,"dhaharing ratu, cadhong.",a
ayar,banyu.,a
ayat,ayat (peranganing bab).,a
ayo,"ayuh, ayo.",a
ayum,diayum: dirojongi lan dibiyantu.,a
ayun,"berayun, mengayun: 1 mbandul, obah geyong-geyong; 2 lingsir (tmr. srêngenge ± jam 4); ayunan: bandulan.",a
ayun-temayun,wayah lingsir (jam 4 sore).,a
azab,siksaning pangeran.,a
azad,tanpa cacad.,a
"azal, azali",langgêng (tanpa kawitan).,a
azan,adan.,a
azas,"niyat, sêdya (sok kliru karo asas).",a
azimat,jimat.,a
azul,"wiwit biyèn mula.
b",a
ba,kaya.,b
bab,1 gapura; 2 bab.,b
baba,babah.,b
babad,babad.,b
babak,babak (ing crita lsp).,b
babang,"ut. terbabang: mênga amba, mlowoh.",b
babar,"1 jumèrèng; 2 babar, ora kêmpêl; dibabar: dibèbèr, dijèrèng.",b
babas,"ut. terbabas: suwèk pating sluwir tmr. layar, kentas bablas, bubrah mawut tmr. barisan.",b
babat,"timbang, babag, rêrakitan.",b
babi,babi; membabi buta: nekad.,b
babi duyung,iwak dhuyung.,b
babi hutan,cèlèng.,b
babi rusa,bngs. cèlèng nganggo siyung munggah.,b
babil,"mbrêngkêlo, ora manutan.",b
babit,dibabit: disangkut ut. dikatutake ing prakara.,b
babu,babu.,b
babu cuci,babu ngumbahi.,b
babu kering,babu rêrêsik.,b
babu susu (-tetek),inya.,b
babuk,"gêblêg, mbocahi.",b
baca,"dibaca: 1 diwaca; 2 diucapake tmr. lapal lsp.
--- 17 ---",b
bacar,bocor (kêrêp omong).,b
bacin,bacin.,b
bacok,"dibacok: dibacok, disuduk.",b
bacul,"(wong kang) ngêpluk, jirih.",b
bada,"bakda, sawise.",b
badahu,sawise iku.,b
badai,prahara gêdhe.,b
badak,warak.,b
badam,i woh amandêl. ii bunga badam: trutul abang ing kulit.,b
badan,"1 badan awak, awak-awak, gêmbung; 2 bêbadan; badan pengarang: bêbadan juru ngarang.",b
badang,bngs. kalo gêdhe.,b
badar,"i rêmbulan purnama (ent. endah). ii wadêr, badhèr.",b
badi,"ilu lsp. kang njalari lêlara, dayaning lêlêmbut.",b
badik,bngs. wêdhung cilik.,b
baduk,gêdhe mbêmbêng.,b
badung,badhong.,b
badut,badhut.,b
bafta,blacu.,b
bagai,"1 jinis; 2 (ut. sebagai) kaya, padha karo; (ber) bagai-bagai: warna-warna; tiada terbagaikan: tanpa upama.",b
bagai-lagi (-pula),mêngkono uga.,b
bagaimana,kapriye.,b
bagal,i gagang manggar. ii gêdhe gothot tmr. jago lsp. iii bihal.,b
bagan,"1 cêngkoronganing omah lsp; 2 tilas omah lsp; 3 omah tambêl (palerenan lsp), omah ing babagan (pêlabuhan) 4 rengrengan.",b
bagar,1 bangka; 2 wangkod; kc. begar.,b
bagas,"gothot kiyêng tmr. pawakan, bakuh tmr. barang dandanan, groboh tmr. gêgarapan, bantêr tmr. angin.",b
bagat,bngs. wit arèn.,b
bagi,"i tumrap ing, kanggo ing. ii perangan: kc. bahagi.",b
bagia,bêgja; kc. bahagia.,b
baginda,sang prabu.,b
bagur,gêdhe dhuwur.,b
bagus,"bagus, bêcik.",b
bah,"banjir, lubèr, wrata sumêbar.",b
bahaduri,kêndêl bangêt.,b
bahagi,"ut. bahagian: bageyan, perangan, panduman; dibahagi: diperang, dibage, didum; dibahagikan: didum-dum, didum-dumake.",b
bahagia,"bêgja, kabêgjan.",b
baham,dibaham: dimamah mingkêm.,b
bahan,"1 sigaran kayu lsp. bakal balungan omah lsp; 2 barang-barang bêbakaling dandanan, guru bakal: dibahan: 1 didhodhogi, ditêbak-têbak tmr. lawang lsp; 2 disigari ut. diprèjèngi tmr. kayu.",b
bahana,swara ngumandhang sêru.,b
bahang (-api),"sumuking gêni, urubing gêni.",b
bahar,sêgara.,b
bahara,1 ar. bobot; 2 awak-awaking prau; tolak bahara: momotan dianggo ngêbot-êboti supaya aja nggoling.,b
bahari,"i wong palayaran. ii ing pantun owah-owahane têmbung baharu. iii 1 endah, bêcik; 2 pantês pinundhi-pundhi.",b
"baharu, baru","1 anyar; 2 lagi, mêntas bae; dibaharui: dianyarake, dibangun anyar.",b
bahas,"i dibahas: dirapêtake tmr. kayu rênggang lsp. ii panitipriksa: 'ilmu bahas: kawruh bab bêbantahan; berbahas: bawarasa, bêbantahan, srasehan.",b
"bahasa, basa","i 1 basa, têtêmbungan; 2 tatakrama; 3 sarèh, alus; 4 sêmu, rada, up. gila-gila bahasa (rada edan); berbahasa: 1 migunakake basa: 2 ngrêti tatakrama; dibahasakan: ditêmbungake, dibasakake perbahasa(an): paribasan. ii yèn, bilih.",b
bahat,"sebahat, rukun, mupakat.",b
bahaya,bêbaya; berbahaya: mbêbayani.,b
bahaya air,kêbanjiran.,b
bahaya api,kobongan.,b
bahkan,"1 kasinggihan, iya; 2 malah iya, malahan.",b
bahtera,prau.,b
bahu,pundhak.,b
bahwa,"1 anadene; 2 yèn, bilih.",b
bahwasanya,1 mungguh ing satêmêne; 2 anadene.,b
baid,(sanak) adoh; karib dan ba'id: sanak cêdhak lan adoh.,b
baiduri,intên widuri.,b
baik,"bêcik, prayoha, pantês; baik ... , baik [ba...]
--- 18 ---",b
bait,"kidungan, rêrêpèn.",b
baitulharam,omah suci (mêsjid mêkah).,b
baitulmal,gêdhong rajabrana.,b
baitulmukaddis,(omah suci) yèrusalèm.,b
baja,i besi baja: waja. ii banyon. iii rabuk: dibaja(kan): dirabuki.,b
bajak,i wluku; dibajak: diwluku; ii bajag.,b
bajan,"wadhah (tong, èncèh lsp).",b
bajang,i ar. mêmêdi awujud rase: gelang bajang: gêlang lawe sutra irêng dianggo têtulak. ii kayu cathokan ing sambungan.,b
bajang-bajang,ar. wiji sukêt.,b
bajau,ar. bangsa ing borneo lan sèlèbês kulon.,b
baji,paju.,b
baji-baji,ar. iwak sêgara.,b
bajik,"kebajikan: kabêcikan, kautaman.",b
bajing,bajing; kc. tupai.,b
bajingan,bajingan; kc. copèt.,b
baju,klambi.,b
baju besi,kêre wêsi.,b
baju dalam,klambi rangkêpan.,b
baju kurung,klambi kurung.,b
bak,rob ing sagara.,b
baka,"i wêwatakan, kaanan lsp. kang asli ut. turunan wiwit kuna mula; membuang baka: nyêlaki asale lsp. ii ut. baka': lêstari, langgêng, ora owah gingsir.",b
bakai,"mandi bakai: 1 ngêdusi mayit; 2 awa-awak,[2] adus ing sêgara banjur bilas.",b
bakak,ar. bakal dianggo kudhung.,b
bakal,"bakal; dibakal(kan): dibakali, diwangun.",b
bakar,dibakar: diobong; terbakar: kobong; kebakaran: kobongan.,b
bakarat,prawan.,b
bakat,"i têmpuking ombak; berbakat: nyampyuk têtêmpukan. ii ngalamat yèn bakal ana lêlara, lêlakon lsp.",b
bakau,wit bako (ut. tanjang branggah).,b
bakda,bakda.,b
bakhil,cêthil.,b
bakhtiar,"sugih, bêgja.",b
baki,"i ut. bakiat: turahan, sisa, kêkèrèn. ii baki, talam, tembor.",b
bakiak,"gapyak, trumpah.",b
bakik,lombok jêmprit.,b
bakim,bisu.,b
bakir,i sugih bandha lan sugih kawruh. ii wis kêcut tmr. puhan.,b
bakmi,"mi, bakmi.",b
baksi,membaksi: nampêk layar tmr. angin.,b
baksis,"opah, pêrsèn.",b
bakti,"bêkti, sungkêm, lêlabuh; berbakti: sungkêm, nêmbah; kebaktian: pangabêkti, panêmbah, agama.",b
bakul,"wakul, tenggok, kranjang.",b
bakung,bakung.,b
bakup,"abuh mbêdhudhug, bêngêp, gêmblêb, pêndul tmr. mata.",b
bala,"i bala tentara: wadyabala. ii sangsara, kacilakan; bala sampar: pagêblug, lêlara nular.",b
bala-bad,ngatas angin.,b
balah,"membalah, berbalah: madoni, dhawuh lsp.",b
balai,"bangsal, omah gêdhe.",b
balai-balai,"ambèn, lincak.",b
balai-derma,omah (yêyasan) kanggo ngopèni bocah yatim lsp.,b
balai-kambang,bale kambang.,b
balairung,bangsal pasewakan.,b
balak,wulu mruwun tmr. kewan.,b
balam,"i bngs. putêr. ii ut. balam-balam: lamat-lamat, rêmêng-rêmêng.",b
balang,i ar. prau layar. ii bngs. gêndul gulune dawa.,b
balar,bule.,b
balas,i wêwalês; dibalas: 1 diwalês; 2 diwangsuli. ii tulak bara.,b
balau,wit trêmbalo.,b
balgam,"yiyid, riyak.",b
baliau,1 wong tuwa kang diaji-aji; 2 panjênêngane.,b
balig,diwasa; kc. 'akil balig.,b
balik,"walik, sawalike, ing burine; berbalik: malik, mbalik, pada baliknya, sebaliknya: kosokbaline; dibalikkan: diwalik, diingêr; terbalik: kuwalik.
--- 19 ---",b
baling,membaling: mubêng ngganjrèt.,b
baling-baling,kitiran.,b
balok,balok.,b
balon,balon.,b
balu,"dhudha, randha.",b
baluarti,baluwêrti.,b
baluh,"urunging kêndhang, bêdhug lsp.",b
balui,"gêdhèg, ut. pur.",b
baluk,ar. prau cilik.,b
balun,"i eling saka ênggone kêsurupan lsp. ii dibalun: digêpuk, dipupuh, digêbugi.",b
balung,cènggèr.,b
balur,"i 1 dhèndhèng, balur; 2 wlulang mêntah. ii ut. hablur: yakut.",b
balus,"gabug, ora duwe anak.",b
balut,"pêndul tmr. mata; dibalut: diblêbêd; pembalut, balutan: blêbêd.",b
"bam, êbam",palang sanggan kêmudhi ut. tiyang.,b
bambang,"i gêdhe amba (kyt. wanguning rêmbulan). ii (se)bambangan: dhêmênan, rangkad.",b
bambu,pring.,b
bambung,kuwawung; kc. bangbung.,b
ban,"i mandhor juru ngulat-ulatake. ii ban (sêpedha, mobil lsp.)",b
banang,kang gêdhe dhewe (tinimbang panunggalane).,b
banat,"i dibanat: digêbugi, digitik, dipupuh. ii bngs. sêngkêlat ut. cindhe alus.",b
bancang,"dibancang: dialang-alangi, dipagoli.",b
bancau,"worsuh, ora karu-karuwan.",b
banci,"i 1 pêthèl gêdhe, 2 banci, wandu. ii dibanci: ditarik pajêg, dicacahake.",b
bancuh,"carub, campur.",b
bancut,"ora dadi, wurung.",b
bandan,rasa ut. ambuning logam.,b
bandang,bandêng.,b
bandar,"1 kutha palabuhan, 2 kalèn.",b
bandarsah,pamulangan ngaji.,b
bandel,membandel: wangkod; mbrêkunung; ora nggugu.,b
bandela,pak-pakan gêdhe kyt. barang-barang kang dikirimake mêtu prau.,b
banderek,wedang sêrbat.,b
banding,"tandhing, têtimbangan; tiada bandingnya, tiada berbanding: tanpa timbang; dibandingkan: ditandhing.",b
bandung,"dhèmpèt gêgandhengan, rakitan, sakêmbaran.",b
bandut,dibandut: digodhi (ditalêni) tmr. barang kang arêp suwèk ut. pêcah; pembandut; godhi.,b
bang,i wc. abang: kakang. ii ut. êbang: têngara unining bêdhug nyasmitani wayah sêmbahyang (adan); dibangkan: diadani.,b
bangai,"ut. terbangai: dilêmparakake ora kopèn, nglênthar.",b
bangar,"bangêr, basêng.",b
bangat,"rikat, enggal; dibangatkan: dirikatake, digêlak, disrêmpêng.",b
bangau,manuk bango.,b
bangbung,kuwawung.,b
bangga,"mantêp, gêdhe atine; dibanggakan: diumukake, mantêp dening.",b
bangkai,bangke.,b
bangkang,"i 1 nyênthang, ndhaplang; 2 (ketam bangkang) ar. yuyu sêgara. ii kandhêg tmr. pagaweyan; dibangkangkan: ora ditutugake tmr. pagaweyan. iii mbangkang; mogok.",b
bangkar,"1 bangka, atos mbêngkayang; 2 alod, wulêd.",b
bangkas,"1 wiring kuning tmr. jago; 2 kêndêl, sumêngah.",b
bangking,bngs. pêthi wadhah sandhangan.,b
bangkit,"ut. berbangkit: 1 tangi, mênyat ngadêg, njênggèlèk; 2 ent. tuwuh, thukul tmr. hawa nêpsu lsp; membangkit: ngundhat-undhat; dibangkitkan: 1 ditangèkake; 2 ditêtangi, digugah tmr. hawa nêpsu lsp.",b
bangkrut,bangkrut.,b
bangku,bangku.,b
bangkut,1 krêngga; 2 dhugul tmr. sungu.,b
banglas,"bawera, ora sumpêk, jêmbar wawasane.
--- 20 ---",b
banglo,bngs. pasanggrahan.,b
bangsa,1 bangsa; 2 darah; berbangsa: isih darah; kebangsaan: kabangsan.,b
bangsai,bêbrêg tmr. kayu.,b
bangsal,"omah gêdhe, gudhang.",b
bangsat,"1 bangsat, bajingan; 2 tinggi.",b
bangsawan,"1 priyayi luhur, darah, 2 (komidi bangsawan) sandiwara barangan.",b
bangsi,bngs. suling.,b
bangun,"i 1 nglilir, tangi; 2 dhêndhaning rajapati; membangun: ndêdêl munggah tmr. mega; dibanguni: ditangèni; dibangunkan: ditangèkake, digugah. ii wangun; bangun-bangun: pawakan; bangun-bangunan: wêwangunan (omah-omah lsp); dibangunkan: diwangun, diêdêgake tmr. omah lsp.",b
"bani, banu","turun, anak putu, bangsa.",b
baning,bngs. kura (bulus).,b
banir,tambi (oyod gêdhe njêbèbèh).,b
banjar,larikan; berbanjar: lêlarikan.,b
banji,ukir-ukiran kêkêmbangan modhèl tionghwa.,b
banjir,banjir.,b
bantah,"pêpadon; berbantah: padu, dibantahi: dipadoni; dibantahkan: dipadu; bantahan: dhêmên padu.",b
bantah-bentoh,"pasulayan, congkrah.",b
bantai,"dibantai: disêmbêlèh; pembantai: jagal; pembantaian: jagalan, papan kang dianggo nyêmbêlèh.",b
bantal,bantal; bantal-bantal: bantalan.,b
bantar,"dibantar: ditulak, dicêgah, dialang-alangi.",b
bantat,bokong; kc. pantat.,b
banteng,banthèng.,b
banteras,"dibanteras: disirnakake, dilawan.",b
banting,"dibanting: dibanting, diwanting; membanting-banting: orêg, oyag; membanting tulang: nyambut gawe ngêtog karosan.",b
bantu,"pitulungan; dibantu: dibantu, ditulungi, direwangi, dibiyantu; bantuan: pitulungan.",b
bantun,"dibantun: didudut, dicopot, dibêdhol.",b
bantut,"ut. terbantut: kandhêg, ora bisa têrus sêmpulur, krêngga tmr. wowohan lsp.",b
banyak,"akèh, dibanyaki: diêbut, dikroyok wong akèh; diperbanyak: dikèhi, diundhaki; kebanyakan: 1 kang akèh-akèh; 2 lumrah, up. orang kebanyakan.",b
banyu,banyon.,b
bap,"bug, gêdêbug, plêk.",b
bapa angkat,bapa angkat.,b
bapa bungsu,(ut. pa' su): paman wragil.,b
bapa kecil,(ut. pa'ci) pakcilik.,b
bapa mentuwa,bapa maratuwa.,b
bapa muda,(ut. pa'uda) pakcilik.,b
bapa saudara,uwa lan paman.,b
bapa tengah,"(ut. pa' êngah, bapa alang) paman ut. uwa panêngah.",b
bapa tua,(ut. pa'ua) uwa.,b
"bapa, bapa",bapa.,b
baptis,disiram ing banyu suci (disranèkake).,b
bara,i (ut. bara api) mawa. ii tolak bara: momotan kang dianggo ngêbot-êboti; kc. bahara.,b
baraat,layang lulusan.,b
barah,"(-bau, -sisip, lsp): saèm. wudun.",b
barai,ar. kêyong sagara.,b
barak,omah tambêlan.,b
baran,alas wujud rawa-rawa.,b
barang,"1 barang; 2 kanggo mratelakake apa-apa kang ora gumathok, up. barang apa (apa bae, samubarang); barang kemana (mênyang ngêndi bae); barang siapa (sapa bae); 3 sadhengah, up. barang orang (anggêr wong, sêmbarangan); 4 ka (kira-kira), up. berilah barang lima rupiah (wènèhana ka limang rupiah bae); 5 (dirangkêpi têmbung apalah kiranya ut. kiranya ut. apalah) atêgês pangarêp-arêp, muga-muga, up. barang disampaikan allah kiranya kepada ...; barang-barang: 1 barang-barang; 2 lumrah, sêmbarangan bae; bukan barang-barang: ora jamak.",b
barangkala,samangsa-mangsa.,b
barangkali,bokmanawa.,b
baras,lara budhug.,b
barat,kulon.,b
barat-daya,kidul-kulon.,b
barat-laut,lor-kulon.,b
barau-barau,ar. manuk.,b
barbur,"1 jêgar-jêgur; 2 (orang-) wong boros, ngêbrèh.",b
baret,kc. barak.,b
bari,i (ut. bahari): 1 wong playaran; 2 minulya. ii (papan bari) blabag ing prau.,b
bari-bari,"bngs. mrutu sok ngrubung wowohan. [wo...]
--- 21 ---",b
barid,utusan.,b
barik-barik,galêr-galêr cêcorekan ing bathikan lsp.,b
baring,berbaring: sumèlèh têturon; dibaringkan: diturokake.,b
baris,"1 garis; 2 larik, larikan, jejeran; 3 baris tmr. prajurit; 5 (-diatas, -dibawah, didepan, -mati) ar. sandhangan ing aksara arab yaiku fatah, kasrah, lamah, jasam); berbaris: baris, tatabaris; membaris: 1 blajar baris; 2 nggawêng tmr. teja lsp; barisan: 1 (bukit barisan) gunung kêndhêng; 2 gêgolonganing prajurit.",b
barkas,kapal barkas: kapal api cilik.,b
baru,"i ut. baharu: anyar, mêntas bae, lagi. ii wit waru.",b
baruh,"palêmahan ing ngisor (cakêt kali, pasisir lsp).",b
barung-barung,"gubug, omah tambêlan, pakajangan.",b
barungsai,barongan.,b
barus,kapur barus: kampêr.,b
barusan,"lagi, mêntas bae.",b
barut,"blêbêd, ubêl-ubêl; dibarut: diblêbêd.",b
barwa,"grobog, pêthi gêdhe.",b
barzakh,jaman antarane pati karo tangining badan.,b
barèh,utang.,b
basa,basa; kc. bahasa.,b
basah,têlês; dibasahkan: ditêlêsi; basahan: sandangan têlêsan (padinan).,b
basah kuyup,têlês klêbus.,b
basai,ngêmbus-êmbus (abuh lêlaranên).,b
basal,1 abuh ngêmbus-êmbus; 2 (-angin) mlênthing.,b
basat,bangsat.,b
basau,atos kriyak-kriyak.,b
basi,"i 1 basèn (cowokan dhuwit sing diijolake); 2 wuwuhan, anakan, undhakan pagaweyan lsp. ii wayu, wis mèh mambu.",b
basir,"waskitha, mahawikan.",b
basit,"lamba; al-basit: kang sawiji (allah); bilangan basit: cacah lamba (3, 5, 7, lsp).",b
basmi,dibasmi: 1 diobong; 2 disirnakake.,b
basuh,"dibasuh: dikumbah, diwasuh, diwisuhi; pembasuh baluh, pembasuh meja: wragad prakaran; pembasuh mulut: panganan ut. ombèn-ombèn sabakdane mangan; pembasuh tangan: pituwasing kangelan (opahan marang dhukun bayi).",b
basuk,ar. wit.,b
basung,"1 conthong, pasungan; 2 rong losin (24).",b
basut,"pancuran, pontèn; air membasut: banyu mancur.",b
bata,ut. batu bata: bata.,b
bata-bata,"rangu-rangu, gojag-gajêg.",b
batak,"membatak: lunga klambrangan, mbêbegal, njêjarah.",b
batal,"batal, wurung; dibatalkan: dianggêp batal, diwurungake.",b
batang,"i 1 dêlêging wit, wit; 2 lonjoran, gilingan, gligèn; 3 garan, gagang, 4 kanggo wilanganing barang kang dawa lêlonjoran; membatang: 1 katon malang ing kali tmr. nusa; 2 (ut. mengaji batang) maca arab tanpa ngeja; batangan: pêpalang ing kali. ii bathang: bangke.",b
batang air,kali.,b
batang leher,gulu.,b
batang lengan,lêngên.,b
batang tubuh,awak.,b
batara,"bathara, dewa.",b
batari,bathari.,b
batas,"watês, wangênan, wakêdan; dibatasi: diwatêsi, dikikis; pembatasan: watêsan.",b
batat,ar. wit.,b
batik,bathik.,b
batil,"cêmung, bokor.",b
batin,i sêsêbutan ut. pangkat saèmpêr lurah. ii batin; 'ilmu batin: ilmu kêbatinan.,b
"batir, (-batir)",ilat-ilatan ing sabuk kanggo wadhah kêris.,b
batu,"watu, karang, wadhas; membatu: matu (atos bangêt).",b
batu bata,bata.,b
batu berani,wêsi brani.,b
batu giling,pipisan.,b
batu karang,karang ing sagara.,b
batu kepala,sirah (kanggo ngasorake).,b
batu timbul,"watu kambang.
--- 22 ---",b
batuk,watuk.,b
batung-batung,ar. keyong.,b
bau,ambu; berbau: mambu; bau-bauan: ambon-ambon (lênga wangi lsp.).,b
bauk,"rambut ut. wulu ing tênggok, brewok.",b
baung,1 ar. iwak kali; 2 bruwang.,b
baur,campur worsuh.,b
bawa,"dibawa: 1 digawa; 2 diêtêrake, diparakake mênyang, diêmot (ing kreta lsp); 3 dipêthik saka (ing layang lsp); 4 dijalari, disêbabake, kêgawa saka; membawa agama (iman): ngrasuk agama; membawa agung: diwasa; membawa bulan: nggarapsari; membawa diri: lunga; membawa jalan: nuduhake dalan; membawa hal (nasib, untung): golèk panguripan; membawa hati: 1 nênarik ati; 2 manut krêntêging ati; membawa isyarat: nyasmitani, ngalamati; membawa keair: nêtakake; membawa lagu: nêmbangake; nglagokake; membawa laku: ngêcakake tatakrama; pembawa: 1 kang nggawa; 2 pangarêp, panuntun, pangirid; pembawaan: 1 gawan, gêgawan; 2 ênggone nggawa, ngusung, lsp; 3 wêwatakan lsp. gawan lair mula.",b
